constructorResultsId,raceId,constructorId,points,status
16881,1120,6,18.0,
16880,1120,9,38.0,
15820,1007,9,25.0,
16883,1120,1,18.0,
16882,1120,131,17.0,
15821,1007,6,33.0,
15640,989,6,40.0,
15641,989,131,22.0,
15642,989,9,20.0,
15643,989,1,12.0,
15644,989,4,7.0,
15645,989,10,0.0,
15646,989,15,0.0,
15647,989,3,0.0,
15648,989,5,0.0,
15649,989,210,0.0,
15650,990,6,25.0,
15651,990,131,33.0,
15652,990,5,12.0,
15653,990,210,10.0,
15654,990,4,8.0,
15655,990,1,10.0,
15656,990,15,2.0,
15657,990,10,1.0,
15658,990,3,0.0,
15659,990,9,0.0,
15660,991,9,35.0,
15661,991,131,30.0,
15662,991,6,19.0,
15663,991,4,10.0,
15664,991,1,6.0,
15665,991,210,1.0,
15666,991,10,0.0,
15667,991,3,0.0,
15668,991,15,0.0,
15669,991,5,0.0,
15670,992,131,25.0,
15671,992,6,30.0,
15672,992,10,15.0,
15673,992,4,10.0,
15674,992,15,8.0,
15675,992,1,8.0,
15676,992,3,4.0,
15677,992,5,1.0,
15678,992,210,0.0,
15679,992,9,0.0,
15680,993,131,43.0,
15681,993,9,25.0,
15682,993,6,12.0,
15683,993,210,8.0,
15684,993,4,6.0,
15685,993,1,4.0,
15686,993,10,2.0,
15687,993,15,1.0,
15688,993,3,0.0,
15689,993,5,0.0,
15690,994,9,27.0,
15691,994,6,30.0,
15692,994,131,25.0,
15693,994,10,8.0,
15694,994,5,6.0,
15695,994,4,5.0,
15696,994,15,0.0,
15697,994,210,0.0,
15698,994,1,0.0,
15699,994,3,0.0,
15700,995,6,33.0,
15701,995,131,28.0,
15702,995,9,27.0,
15703,995,4,10.0,
15704,995,10,2.0,
15705,995,15,1.0,
15706,995,5,0.0,
15707,995,210,0.0,
15708,995,1,0.0,
15709,995,3,0.0,
15710,996,131,31.0,
15711,996,9,30.0,
15712,996,6,25.0,
15713,996,210,8.0,
15714,996,4,6.0,
15715,996,15,1.0,
15716,996,1,0.0,
15717,996,5,0.0,
15718,996,3,0.0,
15719,996,10,0.0,
15720,997,9,25.0,
15721,997,6,33.0,
15722,997,210,22.0,
15723,997,10,14.0,
15724,997,1,4.0,
15725,997,15,3.0,
15726,997,5,0.0,
15727,997,4,0.0,
15728,997,3,0.0,
15729,997,131,0.0,
15730,998,6,40.0,
15731,998,131,30.0,
15732,998,9,10.0,
15733,998,4,8.0,
15734,998,10,7.0,
15735,998,1,4.0,
15736,998,210,2.0,
15737,998,3,0.0,
15738,998,5,0.0,
15739,998,15,0.0,
15740,999,131,43.0,
15741,999,6,15.0,
15742,999,9,12.0,
15743,999,4,10.0,
15744,999,210,8.0,
15745,999,10,10.0,
15746,999,15,2.0,
15747,999,5,1.0,
15748,999,1,0.0,
15749,999,3,0.0,
15750,1000,131,35.0,
15751,1000,6,33.0,
15752,1000,9,12.0,
15753,1000,5,8.0,
15754,1000,210,7.0,
15755,1000,1,4.0,
15756,1000,4,2.0,
