resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,status_supercategory
23782,989,20,6,5,3,1.0,1,1,25.0,58,1:29:33.283,5373283.0,53.0,4,1:26.469,220.782,1,Término Competitivo
23783,989,1,131,44,1,2.0,2,2,18.0,58,+5.036,5378319.0,50.0,3,1:26.444,220.845,1,Término Competitivo
23784,989,8,6,7,2,3.0,3,3,15.0,58,+6.309,5379592.0,57.0,2,1:26.373,221.027,1,Término Competitivo
23785,989,817,9,3,8,4.0,4,4,12.0,58,+7.069,5380352.0,54.0,1,1:25.945,222.128,1,Término Competitivo
23786,989,4,1,14,10,5.0,5,5,10.0,58,+27.886,5401169.0,57.0,7,1:26.978,219.489,1,Término Competitivo
23787,989,830,9,33,4,6.0,6,6,8.0,58,+28.945,5402228.0,54.0,5,1:26.880,219.737,1,Término Competitivo
23788,989,807,4,27,7,7.0,7,7,6.0,58,+32.671,5405954.0,57.0,9,1:27.081,219.230,1,Término Competitivo
23789,989,822,131,77,15,8.0,8,8,4.0,58,+34.339,5407622.0,54.0,8,1:27.019,219.386,1,Término Competitivo
23790,989,838,1,2,11,9.0,9,9,2.0,58,+34.921,5408204.0,57.0,6,1:26.958,219.540,1,Término Competitivo
23791,989,832,4,55,9,10.0,10,10,1.0,58,+45.722,5419005.0,51.0,12,1:27.944,217.079,1,Término Competitivo
23792,989,815,10,11,12,11.0,11,11,0.0,58,+46.817,5420100.0,51.0,11,1:27.633,217.849,1,Término Competitivo
23793,989,839,10,31,14,12.0,12,12,0.0,58,+1:00.278,5433561.0,57.0,10,1:27.600,217.931,1,Término Competitivo
23794,989,844,15,16,18,13.0,13,13,0.0,58,+1:15.759,5449042.0,56.0,15,1:28.759,215.085,1,Término Competitivo
23795,989,840,3,18,13,14.0,14,14,0.0,58,+1:18.288,5451571.0,55.0,14,1:28.511,215.688,1,Término Competitivo
23796,989,843,5,28,16,15.0,15,15,0.0,57,,,57.0,13,1:28.176,216.507,11,Término Competitivo
23797,989,154,210,8,6,,R,16,0.0,24,,,23.0,16,1:28.805,214.974,36,Falha Mecânica
